,R1,R2,R3,R4,R5,R6,R7
3430,4,7,14,20,27,34,31
3429,2,9,11,27,30,32,31
3428,5,8,16,17,24,25,39
3427,1,4,14,18,20,26,21
3426,9,15,21,28,32,38,27
3425,4,6,7,9,13,39,37
3424,7,8,19,20,24,32,16
3423,7,10,14,18,21,27,31
3422,2,8,21,28,32,38,17
3421,1,14,17,20,30,33,39
3420,1,3,16,24,34,38,27
3419,9,11,12,28,32,35,13
3418,4,12,13,18,24,35,27
3417,1,15,18,29,33,34,31
3416,2,13,18,30,33,38,31
3415,2,15,16,33,35,38,19
3414,11,14,15,19,21,27,10
3413,3,9,28,30,32,37,13
3412,5,7,12,13,19,21,2
3411,2,4,7,15,30,36,34
3410,7,10,13,14,17,29,28
3409,1,5,13,15,18,30,3
3408,7,11,20,26,29,34,19
3407,2,5,7,8,17,26,23
3406,2,7,12,21,24,26,29
3405,8,19,22,33,36,38,21
3404,1,8,18,25,29,30,37
3403,2,5,9,18,26,31,29
3402,7,12,14,16,22,35,11
3401,1,17,24,29,37,38,31
3400,6,9,10,20,33,35,7
3399,17,20,21,24,31,39,10
3398,8,17,21,23,27,29,11
3397,8,21,26,28,33,35,18
3396,4,5,10,19,25,31,13
3395,6,10,23,24,35,36,11
3394,3,4,7,8,14,22,20
3393,2,8,17,19,29,32,34
3392,8,19,24,29,33,38,30
3391,1,4,11,18,32,39,13
3390,6,20,30,32,34,38,2
3389,1,10,12,23,33,34,38
3388,2,15,28,31,32,33,22
3387,8,13,18,22,28,36,26
3386,20,26,30,31,36,39,6
3385,7,9,23,24,30,32,26
3384,9,13,14,22,25,26,29
3383,4,10,13,27,36,37,30
3382,9,14,17,23,30,36,4
3381,3,6,7,26,27,35,4
3380,6,8,17,26,34,35,9
3379,12,17,18,25,26,36,15
3378,12,21,24,28,37,38,2
3377,2,13,14,23,29,35,15
3376,8,20,27,28,35,39,9
3375,4,7,18,25,32,34,27
3374,12,15,27,34,35,39,31
3373,1,24,28,33,35,36,37
3372,5,8,12,16,19,22,10
3371,13,14,22,29,31,34,30
3370,1,2,8,25,27,37,36
3369,9,13,14,27,34,36,35
3368,16,18,23,33,36,39,7
3367,6,8,10,12,17,21,36
3366,4,5,14,15,17,19,34
3365,15,16,22,26,33,39,34
3364,2,5,13,27,32,34,29
3363,2,6,9,17,22,31,29
3362,10,16,17,24,32,33,20
3361,3,11,14,26,28,32,25
3360,4,5,13,18,22,30,38
3359,2,8,9,14,25,26,18
3358,4,9,13,14,21,23,36
3357,15,18,20,23,24,36,9
3356,3,5,7,11,12,33,10
3355,6,8,18,20,36,37,31
3354,1,2,4,10,34,38,26
3353,2,15,20,21,24,25,34
3352,4,13,17,28,38,39,15
3351,3,10,13,14,30,37,27
3350,4,15,22,24,34,38,2
3349,4,5,19,23,31,36,9
3348,9,13,14,19,20,29,6
3347,5,6,20,25,35,39,38
3346,1,5,8,10,35,39,6
3345,2,9,22,27,33,35,11
3344,14,15,27,31,35,42,13
3343,5,17,28,32,37,42,38
3342,2,6,8,9,34,36,39
3341,1,5,20,25,28,42,22
3340,7,14,20,25,33,38,9
3339,4,5,10,14,19,21,12
3338,10,26,30,35,41,44,29
3337,3,9,24,30,35,38,33
3336,6,12,16,26,33,35,9
3335,6,11,13,16,26,43,21
3334,1,10,28,33,41,44,31
3333,5,23,26,27,37,39,11
3332,3,11,15,20,22,27,29
3331,2,7,23,36,37,38,11
3330,17,18,25,30,31,40,28
3329,1,15,25,29,30,38,42
3328,5,15,16,17,36,38,1
3327,1,6,16,20,23,27,34
3326,8,16,18,20,23,30,17
3325,2,3,18,26,29,33,4
3324,5,31,36,38,43,44,3
3323,20,25,29,31,32,37,43
3322,1,6,22,25,28,35,10
3321,9,22,26,34,40,41,21
3320,4,10,12,30,33,39,9
3319,8,23,35,37,38,39,31
3318,3,8,9,17,31,39,41
3317,1,9,24,28,39,40,21
3316,7,13,17,36,37,40,6
3315,3,9,11,26,38,44,4
3314,1,5,9,23,24,36,21
3313,6,12,14,16,30,42,5
3312,15,20,28,32,33,39,16
3311,7,12,21,30,31,40,24
3310,4,15,26,35,36,38,25
3309,20,26,29,38,43,44,17
3308,5,15,31,32,38,42,27
3307,9,24,30,31,38,39,17
3306,9,23,25,30,37,43,40
3305,1,10,17,23,31,33,13
3304,4,9,18,20,31,38,29
3303,3,17,24,27,32,43,44
3302,8,13,17,23,30,37,16
3301,4,15,19,29,42,44,27
3300,1,22,34,36,38,41,20
3299,1,17,19,20,27,29,4
3298,3,4,6,8,25,43,28
3297,6,10,16,24,26,44,21
3296,15,16,17,19,35,37,29
3295,6,9,19,28,32,33,11
3294,5,13,16,20,28,38,40
3293,7,9,11,20,28,31,1
3292,3,6,10,26,29,40,27
3291,2,5,11,17,31,43,28
3290,7,13,22,23,27,43,17
3289,4,8,20,24,27,41,26
3288,15,19,20,28,29,31,9
3287,11,15,26,28,34,43,24
3286,7,22,29,34,37,42,44
3285,5,16,20,21,25,43,36
3284,11,13,24,32,34,38,37
3283,18,27,32,35,38,39,12
3282,11,15,25,26,32,43,39
3281,3,21,39,40,41,44,32
3280,7,12,18,27,32,38,23
3279,10,20,25,39,41,42,6
3278,17,25,31,33,35,38,42
3277,18,19,20,31,37,41,2
3276,1,5,7,10,16,41,20
3275,6,10,12,15,23,36,44
3274,5,15,17,36,38,44,35
3273,5,12,22,24,30,38,31
3272,1,4,7,24,25,38,12
3271,4,12,13,26,33,40,37
3270,2,14,15,20,36,37,13
3269,2,8,9,11,12,28,32
3268,1,5,6,9,23,24,15
3267,7,13,18,21,36,40,12
3266,25,29,36,37,39,41,32
3265,3,11,16,23,34,43,35
3264,12,24,28,36,38,42,23
3263,1,19,26,33,35,38,8
3262,2,11,17,20,35,43,25
3261,3,5,18,25,34,42,35
3260,16,23,27,28,32,40,33
3259,12,13,14,22,32,38,37
3258,7,8,11,27,34,44,10
3257,16,21,35,36,39,40,44
3256,23,25,29,36,43,44,42
3255,16,17,22,27,37,41,34
3254,7,20,24,34,37,44,33
3253,14,15,30,35,41,42,7
3252,5,8,22,31,33,44,11
3251,20,28,30,40,41,43,25
3250,3,6,22,26,31,36,2
3249,9,15,20,22,23,36,35
3248,6,9,16,23,33,35,37
3247,5,12,22,32,39,42,18
3246,2,6,12,22,33,36,9
3245,1,7,16,31,36,42,5
3244,7,11,14,17,25,43,26
3243,3,8,10,12,13,16,41
3242,13,25,30,35,42,43,16
3241,4,12,15,36,42,44,7
3240,6,14,19,24,30,31,5
3239,5,11,17,26,34,36,3
3238,4,5,20,21,33,40,31
3237,6,11,23,32,34,42,33
3236,2,10,11,12,31,37,40
3235,1,6,13,29,30,43,25
3234,4,8,31,36,37,41,19
3233,1,14,17,30,31,41,4
